type,Demand,Solar,Wind Speed,Wind,Wind,Wind
number,1,1,30m,1,2,3
,0.09015499418,0.0,2.873,0.008730000000000002,0.03746000000000001,0.44666000000000006
,0.10039287109999999,0.0,2.959,0.00959,0.03918,0.48278000000000004
,0.09935929034999999,0.0,3.06,0.015400000000000006,0.05230000000000001,0.551
,0.10678693700000001,0.0,3.109,0.019809999999999998,0.062345,0.59265
,0.11985480190000002,0.0,3.178,0.026019999999999995,0.07648999999999997,0.6513
,0.05342634494,0.0,3.348,0.04131999999999999,0.11133999999999998,0.7958
,0.05517804265,0.008,3.434,0.04906000000000001,0.12897000000000003,0.8689000000000001
,0.008555063927000001,0.24,3.112,0.020080000000000008,0.06296000000000002,0.5952000000000001
,0.41512333989999994,0.406,3.455,0.05095,0.13327500000000003,0.88675
,0.19154041709999997,0.5730000000000001,4.311,0.16219999999999998,0.308755,1.8009499999999998
,0.3420401238,0.721,4.054,0.11080000000000005,0.2560700000000001,1.4283000000000003
,0.01220330465,0.778,3.582,0.06237999999999999,0.15930999999999998,0.9946999999999998
,0.055604834949999994,0.781,3.23,0.030699999999999998,0.08715,0.6955
,1.5285490019999999,0.735,3.063,0.015670000000000017,0.05291500000000003,0.5535500000000002
,0.33029941549999997,0.638,3.086,0.01773999999999999,0.057629999999999966,0.5730999999999999
,0.6190970982000001,0.486,3.213,0.02917000000000001,0.08366500000000002,0.68105
,0.26114796009999997,0.269,3.203,0.028269999999999986,0.08161499999999997,0.6725499999999999
,0.9262430666000001,0.028,2.83,0.0083,0.0366,0.42860000000000004
,1.9495773829999998,0.0,2.794,0.007940000000000001,0.03588,0.41348
,1.147012799,0.0,2.919,0.009190000000000002,0.038380000000000004,0.46598
,1.0682953730000002,0.0,3.2,0.028000000000000014,0.08100000000000003,0.6700000000000002
,0.5906133585,0.0,3.17,0.025299999999999993,0.07485,0.6445
,0.4031948878,0.0,3.166,0.024939999999999993,0.07402999999999998,0.6410999999999999
,0.5422537022000001,0.0,3.224,0.030160000000000017,0.08592000000000004,0.6904000000000002
,0.1812240572,0.0,3.231,0.030789999999999988,0.08735499999999997,0.6963499999999999
,0.1878552992,0.0,3.074,0.016659999999999987,0.05516999999999997,0.5628999999999998
,0.18280883069999998,0.0,2.831,0.008309999999999998,0.03662,0.42901999999999996
,0.8811308405999999,0.0,2.7439999999999998,0.007439999999999998,0.034879999999999994,0.3924799999999999
,0.6156165764,0.0,2.783,0.007829999999999998,0.03566,0.40885999999999995
,0.3444126634,0.0,2.835,0.00835,0.0367,0.43069999999999997
,0.34982551800000006,0.006,2.769,0.0076900000000000015,0.03538,0.40298000000000006
,0.2222977784,0.215,2.435,0.004350000000000001,0.028700000000000003,0.26270000000000004
,1.292294406,0.445,2.5700000000000003,0.005700000000000003,0.031400000000000004,0.3194000000000001
,0.5688073555,0.614,2.179,0.0017899999999999982,0.023579999999999997,0.15517999999999993
,0.6362637932999999,0.716,1.5310000000000001,0.0,0.010620000000000003,0.04248000000000001
,0.49955591709999997,0.766,1.274,0.0,0.0054800000000000005,0.021920000000000002
,0.0417927859,0.766,0.915,0.0,0.0,0.0
,1.057822206,0.7000000000000001,0.9390000000000001,0.0,0.0,0.0
,0.18112904419999998,0.5670000000000001,0.983,0.0,0.0,0.0
,0.0976845252,0.395,1.351,0.0,0.007019999999999999,0.028079999999999997
,1.1179480119999998,0.14300000000000002,1.592,0.0,0.011840000000000002,0.047360000000000006
,0.020249133449999998,0.011,1.57,0.0,0.011400000000000002,0.04560000000000001
,1.757824484,0.0,1.855,0.0,0.0171,0.0684
,0.060022420289999996,0.0,2.321,0.003210000000000002,0.026420000000000003,0.21482000000000007
,0.2159055846,0.0,2.423,0.00423,0.02846,0.25766
,0.951909944,0.0,2.48,0.0048,0.0296,0.2816
,0.9113525761,0.0,2.558,0.005579999999999998,0.031159999999999997,0.3143599999999999
,0.2415789619,0.0,2.69,0.0069,0.0338,0.36979999999999996
,0.02292457838,0.0,2.6870000000000003,0.006870000000000003,0.033740000000000006,0.36854000000000015
,0.21718586659999997,0.0,2.511,0.005110000000000001,0.030220000000000004,0.29462000000000005
,0.21069492369999998,0.0,2.225,0.0022500000000000007,0.0245,0.17450000000000004
,0.8811308405999999,0.0,1.953,0.0,0.01906,0.07624
,0.6075042651,0.0,1.903,0.0,0.018060000000000003,0.07224000000000001
,0.6693906416,0.0,1.8010000000000002,0.0,0.016020000000000003,0.06408000000000001
,0.011155083,0.007,1.76,0.0,0.0152,0.0608
,0.06038368838,0.231,1.436,0.0,0.008719999999999999,0.034879999999999994
,1.058593491,0.454,0.321,0.0,0.0,0.0
,0.8908071587999999,0.613,0.91,0.0,0.0,0.0
,0.9154631252000001,0.718,1.405,0.0,0.008100000000000001,0.032400000000000005
,0.5248790282,0.769,1.7770000000000001,0.0,0.015540000000000003,0.062160000000000014
,0.7989832976,0.771,2.072,0.0007200000000000006,0.02144,0.11024000000000002
,0.6630793275000001,0.723,2.238,0.0023799999999999997,0.024759999999999997,0.17995999999999998
,0.5009280232,0.621,2.27,0.0027,0.0254,0.19340000000000002
,0.6177340576,0.434,2.283,0.002829999999999999,0.025659999999999995,0.19885999999999995
,0.6426920062,0.188,2.058,0.0005799999999999983,0.021159999999999998,0.10435999999999993
,0.02119734659,0.016,1.73,0.0,0.0146,0.0584
,0.1096992518,0.0,1.8130000000000002,0.0,0.016260000000000004,0.06504000000000001
,0.08077327178,0.0,2.019,0.00019000000000000128,0.020380000000000002,0.08798000000000004
,0.08538409713,0.0,2.093,0.0009299999999999997,0.02186,0.11905999999999999
